number_of_trucks,number_of_bins,bin_threshold,truck_waste_capacity,truck_waste_threshold,truck_fuel_capacity,truck_fuel_threshold,simulation_time,simulation_days,total_collections,total_distance,total_fuel_used,total_waste_generated,total_overflow_incidents,total_traffic_events,total_malfunctions,total_refuel_count,total_depot_returns,total_mission_costs
5,15,0.75,1000,0.8,100,0.2,336.25200939178467,7,375,1995,2554.4,29664.402136774304,20,3,6,14,33,3692.060000000001
5,15,0.75,1000,0.8,100,0.2,336.2383759021759,7,376,1854,2315.8500000000004,29649.765918032746,9,1,5,12,33,3534.91
5,15,0.75,1000,0.8,100,0.2,336.2478287220001,7,370,1757,2261.9,29580.494155836193,6,8,2,12,34,3395.4400000000005
5,15,0.7,1000,0.8,100,0.2,336.28961181640625,7,398,1996,2599.2,29515.939021454527,4,10,3,14,34,3749.23
5,15,0.7,1000,0.8,100,0.2,336.2365810871124,7,397,2053,2597.85,29501.95607281538,3,6,4,14,33,3782.01
5,15,0.7,1000,0.8,100,0.2,336.248028755188,7,402,2161,2732.05,29626.853108402345,2,6,7,15,33,3925.17
5,15,0.75,1000,0.85,100,0.15,336.23403096199036,7,372,1821,2163.2,29726.054808671066,15,5,5,10,31,3400.93
5,15,0.75,1000,0.85,100,0.15,336.2675802707672,7,371,2002,2520.1499999999996,29672.65193668068,14,5,5,13,30,3846.14
5,15,0.75,1000,0.85,100,0.15,336.2749774456024,7,374,1954,2447.7500000000005,29538.71499659277,6,5,4,12,31,3625.4
6,15,0.75,1000,0.8,100,0.2,336.24700355529785,7,377,1786,2317.9500000000003,29804.072727218816,7,5,4,12,33,3398.6099999999997
6,15,0.75,1000,0.8,100,0.2,336.3356761932373,7,368,1599,2209.75,29769.574324460802,1,10,0,12,30,3039.3099999999995
6,15,0.75,1000,0.8,100,0.2,336.23511576652527,7,381,1765,2237.85,29830.46192771409,6,5,7,12,31,3370.5599999999995
4,15,0.75,1000,0.8,100,0.2,336.2148106098175,7,364,2068,2717.65,29509.065570089657,13,6,3,15,33,4000.86
4,15,0.75,1000,0.8,100,0.2,336.24490451812744,7,369,2098,2891.7499999999995,29642.73869618317,20,5,5,16,35,4154.44
4,15,0.75,1000,0.8,100,0.2,336.2816643714905,7,362,2041,2844.8,29630.28236162041,13,7,1,16,33,3876.7799999999997
6,15,0.7,1000,0.8,100,0.2,336.2431318759918,7,405,1965,2455.7999999999997,29566.1342921252,3,7,6,13,35,3690.13
6,15,0.7,1000,0.8,100,0.2,336.2439937591553,7,394,1901,2301.65,29581.6477428179,2,5,2,12,33,3490.29
6,15,0.7,1000,0.8,100,0.2,336.2911493778229,7,398,1866,2284.85,29587.732740974665,1,7,4,12,33,3438.1299999999997
5,15,0.75,1000,0.75,100,0.25,336.2448444366455,7,373,1790,2409.35,29790.875278353957,8,8,4,14,34,3513.79
5,15,0.75,1000,0.75,100,0.25,336.2587490081787,7,370,1876,2511.5,29708.146613887842,11,7,3,15,35,3600.5099999999998
5,15,0.75,1000,0.75,100,0.25,336.25225710868835,7,367,1898,2560.3500000000004,29570.31950119938,12,7,3,15,34,3588.2499999999995
5,15,0.75,1000,0.75,100,0.2,336.5856955051422,7,371,1893,2424.05,29754.421774049304,6,6,2,13,34,3544.1999999999994
5,15,0.75,1000,0.75,100,0.2,336.73226380348206,7,372,1836,2337.05,29616.215552207133,6,5,3,12,36,3455.0300000000007
5,15,0.75,1000,0.75,100,0.2,336.63042283058167,7,374,1999,2594.3999999999996,29650.248113041594,2,4,5,14,36,3820.42
5,15,0.75,1000,0.8,100,0.15,336.37353897094727,7,351,1678,2210.7999999999997,28230.095095219687,16,5,5,11,31,3583.4299999999994
5,15,0.75,1000,0.8,100,0.15,336.5858540534973,7,375,1972,2326.0,29887.456211606186,5,7,3,11,33,3568.4600000000005
5,15,0.75,1000,0.8,100,0.15,336.7753818035126,7,369,1950,2475.3999999999996,29511.19083748357,2,4,2,12,32,3786.3999999999987
